Station,depSM,index,Unnamed: 0.1,Unnamed: 0,latitude,longitude,timeJ,t090C,T0,c0S/m,C0,prDM,p,sbeox0V,oxy0,dz/dtM,flECO-AFL,upoly0,sal00,sbox0Mm/Kg,flag,Year,Fluorescence,sbeox0ML/L,density00,svCM,scan,t190C,T1,c1S/m,C1,sbeox1V,oxy1,xmiss,potemp090C,sbeox0PS,STATION
ST_1,37.5,73.0,73.0,73.0,58.33297,11.8719,39.359858,8.9268,8.9268,3.452674,3.452674,37.855,37.855,0.5255,0.5255,0.481,0.5899,0.8490812,32.3156,2.99,0.0,2019.0,0.005899,,,,,,,,,,,,,,ST_1
ST_1,38.0,74.0,74.0,74.0,58.33298,11.8719,39.35987,8.9295,8.9295,3.453294,3.453294,38.36,38.36,0.525,0.525,0.506,0.6228,0.8463105,32.3194,2.902,0.0,2019.0,0.006228,,,,,,,,,,,,,,ST_1
ST_1,38.5,75.0,75.0,75.0,58.33298,11.8719,39.359881,8.9314,8.9314,3.453872,3.453872,38.865,38.865,0.5249,0.5249,0.515,0.5998,0.864464,32.3234,2.906,0.0,2019.0,0.005998,,,,,,,,,,,,,,ST_1
ST_1,39.0,76.0,76.0,76.0,58.33298,11.8719,39.359893,8.9327,8.9327,3.454404,3.454404,39.369,39.369,0.5249,0.5249,0.494,0.6119,0.836879,32.3275,2.991,0.0,2019.0,0.006119,,,,,,,,,,,,,,ST_1
ST_1,39.5,77.0,77.0,77.0,58.33298,11.87191,39.359907,8.9337,8.9337,3.454795,3.454795,39.874,39.874,0.5249,0.5249,0.445,0.6183,0.8330428,32.3305,3.016,0.0,2019.0,0.0061829999999999,,,,,,,,,,,,,,ST_1
ST_1,40.0,78.0,78.0,78.0,58.33298,11.87192,39.359926,8.9333,8.9333,3.455019,3.455019,40.379,40.379,0.5246,0.5246,0.329,0.6278,0.813932,32.3329,2.906,0.0,2019.0,0.006278,,,,,,,,,,,,,,ST_1
ST_1,40.5,79.0,79.0,79.0,58.33298,11.87192,39.359946,8.931,8.931,3.455016,3.455016,40.884,40.884,0.5244,0.5244,0.278,0.6283,0.7924639,32.3347,2.904,0.0,2019.0,0.0062829999999999,,,,,,,,,,,,,,ST_1
ST_1,41.0,80.0,80.0,80.0,58.33298,11.87192,39.359963,8.9292,8.9292,3.45503,3.45503,41.389,41.389,0.5241,0.5241,0.335,0.6368,0.7974418,32.3364,2.867,0.0,2019.0,0.006368,,,,,,,,,,,,,,ST_1
ST_1,41.5,81.0,81.0,81.0,58.33298,11.87192,39.359979,8.9277,8.9277,3.455021,3.455021,41.894,41.894,0.5239,0.5239,0.362,0.6491,0.7933689,32.3374,2.761,0.0,2019.0,0.006491,,,,,,,,,,,,,,ST_1
ST_1,42.0,82.0,82.0,82.0,58.33298,11.87192,39.359997,8.9249,8.9249,3.454933,3.454933,42.398,42.398,0.5238,0.5238,0.338,0.6443,0.8015255,32.3388,2.832,0.0,2019.0,0.006443,,,,,,,,,,,,,,ST_1
ST_1,42.5,83.0,83.0,83.0,58.33298,11.87192,39.360016,8.9236,8.9236,3.454875,3.454875,42.903,42.903,0.5237,0.5237,0.302,0.6476,0.801008,32.3391,2.813,0.0,2019.0,0.0064759999999999,,,,,,,,,,,,,,ST_1
ST_1,43.0,84.0,84.0,84.0,58.33298,11.87194,39.360035,8.9197,8.9197,3.454618,3.454618,43.408,43.408,0.5236,0.5236,0.317,0.6443,0.7870023,32.3398,2.799,0.0,2019.0,0.006443,,,,,,,,,,,,,,ST_1
ST_1,43.5,85.0,85.0,85.0,58.33298,11.87194,39.360054,8.919,8.919,3.454617,3.454617,43.913,43.913,0.5234,0.5234,0.315,0.6604,0.7866906,32.3402,2.747,0.0,2019.0,0.006604,,,,,,,,,,,,,,ST_1
ST_1,44.0,86.0,86.0,86.0,58.33298,11.87194,39.36008,8.9175,8.9175,3.454509,3.454509,44.418,44.418,0.5231,0.5231,0.187,0.6517,0.7949151,32.3402,2.659,0.0,2019.0,0.0065169999999999,,,,,,,,,,,,,,ST_1
ST_1,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_1
ST_2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST_2
ST_2,0.5,87.0,87.0,87.0,58.32822,11.8559,39.386507,14.8777,14.8777,2.680972,2.680972,0.505,0.505,2.2594,2.2594,0.019,1.813,1.1043687,20.8487,244.749,0.0,2019.0,0.01813,,,,,,,,,,,,,,ST_2
ST_2,1.0,88.0,88.0,88.0,58.32822,11.8559,39.386782,14.8835,14.8835,2.682786,2.682786,1.009,1.009,2.2676,2.2676,0.2,1.8597,1.1431808,20.861,246.099,0.0,2019.0,0.018597,,,,,,,,,,,,,,ST_2
ST_2,1.5,89.0,89.0,89.0,58.32822,11.8559,39.386796,14.8856,14.8856,2.689394,2.689394,1.514,1.514,2.2666,2.2666,0.226,1.8206,1.1515001,20.9162,245.506,0.0,2019.0,0.018206,,,,,,,,,,,,,,ST_2
ST_2,2.0,90.0,90.0,90.0,58.32822,11.8559,39.38682,14.8913,14.8913,2.70348,2.70348,2.019,2.019,2.2639,2.2639,0.251,1.7805,1.1475878,21.0334,244.618,0.0,2019.0,0.017805,,,,,,,,,,,,,,ST_2
ST_2,2.5,91.0,91.0,91.0,58.32822,11.8559,39.386841,15.0266,15.0266,2.760816,2.760816,2.523,2.523,2.2595,2.2595,0.266,1.7267,1.1229941,21.4495,242.368,0.0,2019.0,0.0172669999999999,,,,,,,,,,,,,,ST_2
ST_2,3.0,92.0,92.0,92.0,58.32822,11.8559,39.386861,15.3828,15.3828,2.896299,2.896299,3.028,3.028,2.2585,2.2585,0.301,1.4074,1.111646,22.4071,239.312,0.0,2019.0,0.014074,,,,,,,,,,,,,,ST_2
ST_2,3.5,93.0,93.0,93.0,58.32822,11.8559,39.38688,15.5907,15.5907,2.972002,2.972002,3.533,3.533,2.2315,2.2315,0.31,1.1282,1.1125117,22.9319,230.791,0.0,2019.0,0.011282,,,,,,,,,,,,,,ST_2
ST_2,4.0,94.0,94.0,94.0,58.32822,11.8559,39.3869,15.6835,15.6835,3.010718,3.010718,4.038,4.038,2.1678,2.1678,0.281,0.9288,1.0813178,23.207,216.154,0.0,2019.0,0.009288,,,,,,,,,,,,,,ST_2
ST_2,4.5,95.0,95.0,95.0,58.32821,11.8559,39.386922,15.6877,15.6877,3.013647,3.013647,4.542,4.542,2.1031,2.1031,0.271,0.6729,1.0751428,23.2293,207.329,0.0,2019.0,0.006729,,,,,,,,,,,,,,ST_2
